[2019-06-23 18:57:43,974][DEBUG]:  AlexNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.005000
[2019-06-23 19:19:59,897][INFO]: AlexNet | epoch:76/100 | tol_epoch:76 | loss:0.0010 | acc:100.0% | val_loss:2.7589 | val_acc:95.1587% | lr:0.000934 | time: 17s163ms
[2019-06-23 19:20:17,077][INFO]: AlexNet | epoch:77/100 | tol_epoch:77 | loss:0.0011 | acc:100.0% | val_loss:2.7702 | val_acc:95.1587% | lr:0.001038 | time: 17s179ms
[2019-06-23 19:20:34,235][INFO]: AlexNet | epoch:78/100 | tol_epoch:78 | loss:0.0010 | acc:100.0% | val_loss:2.8011 | val_acc:95.0794% | lr:0.001146 | time: 17s157ms
[2019-06-23 19:20:51,409][INFO]: AlexNet | epoch:79/100 | tol_epoch:79 | loss:0.0011 | acc:100.0% | val_loss:2.8057 | val_acc:95.0794% | lr:0.001258 | time: 17s173ms
[2019-06-23 19:21:08,551][INFO]: AlexNet | epoch:80/100 | tol_epoch:80 | loss:0.0008 | acc:100.0% | val_loss:2.8189 | val_acc:95.0397% | lr:0.001373 | time: 17s140ms
[2019-06-23 19:21:27,007][INFO]: AlexNet | epoch:81/100 | tol_epoch:81 | loss:0.0009 | acc:100.0% | val_loss:2.8435 | val_acc:95.0397% | lr:0.001491 | time: 17s135ms
[2019-06-23 19:21:44,136][INFO]: AlexNet | epoch:82/100 | tol_epoch:82 | loss:0.0010 | acc:100.0% | val_loss:2.8703 | val_acc:95.0397% | lr:0.001612 | time: 17s128ms
[2019-06-23 19:22:01,285][INFO]: AlexNet | epoch:83/100 | tol_epoch:83 | loss:0.0012 | acc:100.0% | val_loss:2.8703 | val_acc:95.0794% | lr:0.001735 | time: 17s147ms
[2019-06-23 19:22:18,483][INFO]: AlexNet | epoch:84/100 | tol_epoch:84 | loss:0.0471 | acc: 99.8% | val_loss:2.9176 | val_acc:94.4841% | lr:0.001860 | time: 17s196ms
[2019-06-23 19:22:35,671][INFO]: AlexNet | epoch:85/100 | tol_epoch:85 | loss:0.0103 | acc:100.0% | val_loss:2.7964 | val_acc:94.9603% | lr:0.001988 | time: 17s187ms
[2019-06-23 19:22:54,154][INFO]: AlexNet | epoch:86/100 | tol_epoch:86 | loss:0.0830 | acc: 99.7% | val_loss:2.7078 | val_acc:94.1667% | lr:0.002116 | time: 17s170ms
[2019-06-23 19:23:11,336][INFO]: AlexNet | epoch:87/100 | tol_epoch:87 | loss:0.1856 | acc: 99.2% | val_loss:2.5408 | val_acc:93.0952% | lr:0.002246 | time: 17s178ms
[2019-06-23 19:23:28,475][INFO]: AlexNet | epoch:88/100 | tol_epoch:88 | loss:0.1797 | acc: 99.3% | val_loss:1.9524 | val_acc:94.6032% | lr:0.002376 | time: 17s137ms
[2019-06-23 19:23:45,622][INFO]: AlexNet | epoch:89/100 | tol_epoch:89 | loss:0.0901 | acc: 99.6% | val_loss:2.1690 | val_acc:94.8810% | lr:0.002507 | time: 17s145ms
[2019-06-23 19:24:02,798][INFO]: AlexNet | epoch:90/100 | tol_epoch:90 | loss:0.0210 | acc:100.0% | val_loss:2.0818 | val_acc:95.3968% | lr:0.002638 | time: 17s175ms
[2019-06-23 19:24:21,316][INFO]: AlexNet | epoch:91/100 | tol_epoch:91 | loss:0.0049 | acc:100.0% | val_loss:2.2979 | val_acc:95.1587% | lr:0.002769 | time: 17s189ms
[2019-06-23 19:24:38,464][INFO]: AlexNet | epoch:92/100 | tol_epoch:92 | loss:0.0027 | acc:100.0% | val_loss:2.3600 | val_acc:95.0397% | lr:0.002898 | time: 17s147ms
[2019-06-23 19:24:55,633][INFO]: AlexNet | epoch:93/100 | tol_epoch:93 | loss:0.0042 | acc:100.0% | val_loss:2.4573 | val_acc:95.1190% | lr:0.003027 | time: 17s168ms
[2019-06-23 19:25:12,775][INFO]: AlexNet | epoch:94/100 | tol_epoch:94 | loss:0.0231 | acc: 99.9% | val_loss:2.3306 | val_acc:95.2778% | lr:0.003154 | time: 17s141ms
[2019-06-23 19:25:29,903][INFO]: AlexNet | epoch:95/100 | tol_epoch:95 | loss:0.4187 | acc: 98.3% | val_loss:2.8344 | val_acc:91.7857% | lr:0.003280 | time: 17s126ms
[2019-06-23 19:25:48,444][INFO]: AlexNet | epoch:96/100 | tol_epoch:96 | loss:0.3252 | acc: 98.5% | val_loss:2.2604 | val_acc:93.8095% | lr:0.003403 | time: 17s185ms
[2019-06-23 19:26:05,596][INFO]: AlexNet | epoch:97/100 | tol_epoch:97 | loss:0.9092 | acc: 96.8% | val_loss:2.4857 | val_acc:91.7857% | lr:0.003524 | time: 17s151ms
[2019-06-23 19:26:22,790][INFO]: AlexNet | epoch:98/100 | tol_epoch:98 | loss:0.6445 | acc: 97.1% | val_loss:2.9878 | val_acc:89.1270% | lr:0.003642 | time: 17s193ms
[2019-06-23 19:26:40,153][INFO]: AlexNet | epoch:99/100 | tol_epoch:99 | loss:0.4413 | acc: 98.1% | val_loss:2.3579 | val_acc:93.3730% | lr:0.003757 | time: 17s361ms
[2019-06-23 19:26:57,295][INFO]: AlexNet | epoch:100/100 | tol_epoch:100 | loss:0.6265 | acc: 97.1% | val_loss:2.8486 | val_acc:90.7143% | lr:0.003869 | time: 17s141ms
